
         3314089 function calls (3311464 primitive calls) in 20.132 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        9    0.000    0.000    0.000    0.000 extras.py:240(getdoc)
      694    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(<genexpr>)
        3    0.000    0.000    0.000    0.000 {built-in method nt.remove}
       15    0.000    0.000    0.000    0.000 abc.py:135(<setcomp>)
        3    0.000    0.000    0.000    0.000 enum.py:837(_decompose)
        3    0.000    0.000    0.000    0.000 numeric.py:367(extend_all)
       10    0.000    0.000    0.000    0.000 unnamed.py:299(create_room)
       15    0.000    0.000    0.000    0.000 enum.py:70(__setitem__)
        1    0.000    0.000    0.000    0.000 map.py:4(<module>)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
       55    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
      197    0.000    0.000    0.000    0.000 color.py:66(__setitem__)
       27    0.000    0.000    0.000    0.000 core.py:910(__init__)
        1    0.000    0.000    0.000    0.000 polyutils.py:45(<module>)
        1    0.000    0.000    0.000    0.000 pathlib.py:385(_NormalAccessor)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1310(<setcomp>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:957(_register_types)
        1    0.000    0.000    0.000    0.000 defmatrix.py:1(<module>)
        9    0.000    0.000    0.000    0.000 datetime.py:355(__new__)
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
       38    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.array}
      414    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.000    0.000 __init__.py:71(search_function)
        1    0.000    0.000    0.000    0.000 tempfile.py:24(<module>)
      126    0.000    0.000    0.000    0.000 {built-in method tcod._libtcod.TCOD_map_delete}
       27    0.000    0.000    0.000    0.000 ntpath.py:121(splitdrive)
       53    0.000    0.000    0.000    0.000 sre_parse.py:342(_escape)
      175    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:293(__init__)
      170    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:87(<module>)
      946    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 records.py:36(<module>)
        1    0.000    0.000    0.000    0.000 pprint.py:35(<module>)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
        1    0.000    0.000    0.000    0.000 console.py:24(<module>)
      120    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _import_tools.py:1(<module>)
        3    0.000    0.000    0.000    0.000 unnamed.py:150(take_damage)
        1    0.000    0.000    0.000    0.000 copyreg.py:12(pickle)
       38    0.000    0.000    0.000    0.000 _inspect.py:67(getargs)
       13    0.000    0.000    0.000    0.000 sre_compile.py:378(<listcomp>)
       25    0.000    0.000    0.000    0.000 sre_parse.py:223(__init__)
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
       26    0.000    0.000    0.000    0.000 numerictypes.py:229(bitname)
      294    0.000    0.000    0.000    0.000 sre_parse.py:159(__len__)
        1    0.000    0.000    0.000    0.000 legendre.py:83(<module>)
        1    0.000    0.000    0.000    0.000 unnamed.py:696(monster_death)
        1    0.000    0.000    0.000    0.000 subprocess.py:176(Handle)
       10    0.000    0.000    0.000    0.000 textwrap.py:115(__init__)
       43    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
      188    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(cb)
       10    0.000    0.000    0.000    0.000 pathlib.py:387(_wrap_strfunc)
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
        3    0.000    0.000    0.000    0.000 tokenize.py:137(_all_string_prefixes)
      182    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
      248    0.000    0.000    0.000    0.000 sre_compile.py:102(fixup)
        3    0.000    0.000    0.000    0.000 os.py:672(__setitem__)
      102    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.000    0.000 wintypes.py:155(WIN32_FIND_DATAW)
        5    0.000    0.000    0.000    0.000 {built-in method nt.putenv}
       25    0.000    0.000    0.000    0.000 enum.py:351(__setattr__)
        1    0.000    0.000    0.000    0.000 subprocess.py:60(CalledProcessError)
        1    0.000    0.000    0.000    0.000 _polybase.py:8(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:259(_reset_cache)
        1    0.000    0.000    0.000    0.000 _datasource.py:35(<module>)
        3    0.000    0.000    0.000    0.000 enum.py:855(<listcomp>)
        1    0.000    0.000    0.000    0.000 hermite.py:59(<module>)
        1    0.000    0.000    0.000    0.000 hermite_e.py:59(<module>)
      524    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.000    0.000 noise.py:10(<module>)
